;A32-11
51.992;13
52.042;7
52.092;8
52.142;6
52.192;6
52.242;9
52.292;7
52.342;6
52.392;3
52.442;7
52.492;10
52.542;5
52.592;6
52.642;7
52.692;12
52.742;6
52.792;6
52.842;6
52.892;5
52.942;8
52.992;7
53.042;7
53.092;8
53.142;6
53.192;8
53.242;3
53.292;5
53.342;12
53.392;9
53.442;8
53.492;6
53.542;11
53.592;7
53.642;11
53.692;3
53.742;5
53.792;9
53.842;5
53.892;7
53.942;4
53.992;7
54.042;5
54.092;8
54.142;8
54.192;5
54.242;6
54.292;9
54.342;6
54.392;5
54.442;5
54.492;6
54.542;8
54.592;7
54.642;9
54.692;6
54.742;10
54.792;8
54.842;6
54.892;6
54.942;4
54.992;9
55.042;13
55.092;5
55.142;5
55.192;9
55.242;10
55.292;9
55.342;12
55.392;6
55.442;7
55.492;10
55.542;9
55.592;5
55.642;5
55.692;14
55.742;11
55.792;7
55.842;6
55.892;3
55.942;10
55.992;7
56.042;6
56.092;8
56.142;9
56.192;7
56.242;4
56.292;4
56.342;7
56.392;7
56.442;10
56.492;6
56.542;8
56.592;6
56.642;6
56.692;7
56.742;10
56.792;5
56.842;8
56.892;7
56.942;10
56.992;8
57.042;5
57.092;5
57.142;8
57.192;7
57.242;8
57.292;7
57.342;7
57.392;4
57.442;1
57.492;5
57.542;7
57.592;8
57.642;7
57.692;7
57.742;4
57.792;6
57.842;9
57.892;6
57.942;3
57.992;5
58.042;5
58.092;8
58.142;9
58.192;5
58.242;7
58.292;13
58.342;7
58.392;4
58.442;8
58.492;5
58.542;7
58.592;6
58.642;4
58.692;8
58.742;8
58.792;5
58.842;11
58.892;4
58.942;11
58.992;7
59.042;7
59.092;4
59.142;10
59.192;7
59.242;4
59.292;4
59.342;6
59.392;11
59.442;6
59.492;8
59.542;5
59.592;10
59.642;6
59.692;7
59.742;5
59.792;7
59.842;8
59.892;7
59.942;9
59.992;8
60.042;10
60.092;8
60.142;5
60.192;5
60.242;5
60.292;8
60.342;9
60.392;14
60.442;9
60.492;12
60.542;16
60.592;26
60.642;54
60.692;120
60.742;129
60.792;134
60.842;141
60.892;145
60.942;116
60.992;92
61.042;69
61.092;44
61.142;27
61.192;16
61.242;11
61.292;8
61.342;7
61.392;11
61.442;6
61.492;9
61.542;8
61.592;5
61.642;9
61.692;4
61.742;7
61.792;4
61.842;1
61.892;6
61.942;7
61.992;8
62.042;10
62.092;11
62.142;7
62.192;3
62.242;6
62.292;6
62.342;4
62.392;7
62.442;8
62.492;9
62.542;11
62.592;7
62.642;13
62.692;4
62.742;3
62.792;4
62.842;4
62.892;5
62.942;7
62.992;4
63.042;5
63.092;4
63.142;9
63.192;7
63.242;5
63.292;8
63.342;5
63.392;8
63.442;6
63.492;8
63.542;7
63.592;4
63.642;5
63.692;8
63.742;3
63.792;6
63.842;4
63.892;5
63.942;4
63.992;4
64.042;8
64.092;6
64.142;8
64.192;6
64.242;3
64.292;6
64.342;5
64.392;8
64.442;7
64.492;4
64.542;7
64.592;7
64.642;7
64.692;5
64.742;7
64.792;10
64.842;8
64.892;7
64.942;5
64.992;3
65.042
65.092
65.142
65.192
65.242
65.292
65.342
